created_at,Instrument,GV1_DATE,expected_tp,Pcase,GEN_VAL3,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,datehour,date
2023-04-02 23:00:05.848297,USIRP25F6=R,2023-12-13,4.4583,42.2,4.875,0.4,4.6,18.0,32.4,29.6,13.0,2.0,,2023-04-02_23,2023-04-02
2023-04-03 23:00:05.961263,USIRP25F1=R,2023-05-03,5.0314,,4.875,,,,,,37.4,62.6,,2023-04-03_23,2023-04-03
2023-04-03 23:00:05.961263,USIRP25F2=R,2023-06-14,5.0216,3.899999999999999,4.875,,,,,1.5,38.4,60.2,,2023-04-03_23,2023-04-03
2023-04-03 23:00:05.961263,USIRP25F3=R,2023-07-26,4.8725,59.65200000000001,4.875,,,,0.9,23.5,51.4,24.3,,2023-04-03_23,2023-04-03
2023-04-03 23:00:05.961263,USIRP25F4=R,2023-09-20,4.7613,44.48,4.875,,,0.4,10.9,35.9,39.3,13.5,,2023-04-03_23,2023-04-03
2023-04-03 23:00:05.961263,USIRP25F5=R,2023-11-01,4.5751,74.47999999999999,4.875,,0.3,8.2,29.5,38.4,20.1,3.4,,2023-04-03_23,2023-04-03
2023-04-03 23:00:05.961263,USIRP25F6=R,2023-12-13,4.4136,64.60000000000001,4.875,0.2,5.4,22.0,35.3,26.6,9.3,1.2,,2023-04-03_23,2023-04-03
2023-04-04 23:00:06.071960,USIRP25F1=R,2023-05-03,4.9926,,4.875,,,,,,52.9,47.1,,2023-04-04_23,2023-04-04
2023-04-04 23:00:06.071960,USIRP25F2=R,2023-06-14,4.9753,6.936000000000001,4.875,,,,,3.7,52.5,43.8,,2023-04-04_23,2023-04-04
2023-04-04 23:00:06.071960,USIRP25F3=R,2023-07-26,4.7663,83.596,4.875,,,,3.1,44.5,45.3,7.2,,2023-04-04_23,2023-04-04
2023-04-04 23:00:06.071960,USIRP25F4=R,2023-09-20,4.5713,78.0,4.875,,,2.4,35.4,45.1,15.6,1.6,,2023-04-04_23,2023-04-04
2023-04-04 23:00:06.071960,USIRP25F5=R,2023-11-01,4.3749,78.55999999999999,4.875,,1.9,28.3,43.0,21.9,4.6,0.3,,2023-04-04_23,2023-04-04
2023-04-04 23:00:06.071960,USIRP25F6=R,2023-12-13,4.2051,67.91999999999999,4.875,1.3,19.8,38.3,28.7,10.1,1.7,0.1,,2023-04-04_23,2023-04-04
2023-04-05 23:00:07.122152,USIRP25F1=R,2023-05-03,4.976,,4.875,,,,,,59.6,40.4,,2023-04-05_23,2023-04-05
2023-04-05 23:00:07.122152,USIRP25F2=R,2023-06-14,4.8739,40.836,4.875,,,,,24.3,51.8,23.9,,2023-04-05_23,2023-04-05
2023-04-05 23:00:07.122152,USIRP25F3=R,2023-07-26,4.6913,73.056,4.875,,,,17.8,44.4,31.4,6.4,,2023-04-05_23,2023-04-05
2023-04-05 23:00:07.122152,USIRP25F4=R,2023-09-20,4.4513,96.0,4.875,,,17.1,43.3,31.9,7.4,0.3,,2023-04-05_23,2023-04-05
2023-04-05 23:00:07.122152,USIRP25F5=R,2023-11-01,4.2289,88.96000000000001,4.875,,15.2,40.4,33.2,10.1,1.1,0.0,,2023-04-05_23,2023-04-05
2023-04-05 23:00:07.122152,USIRP25F6=R,2023-12-13,4.035,77.56,4.875,11.8,34.8,34.8,15.3,3.1,0.3,0.0,,2023-04-05_23,2023-04-05
2023-04-06 23:00:06.411843,USIRP25F1=R,2023-05-03,4.9899,,4.875,,,,,,54.1,45.9,,2023-04-06_23,2023-04-06
2023-04-06 23:00:06.411843,USIRP25F2=R,2023-06-14,4.8739,46.372,4.875,,,,,25.1,50.3,24.6,,2023-04-06_23,2023-04-06
2023-04-06 23:00:06.411843,USIRP25F3=R,2023-07-26,4.7588,46.056,4.875,,,,11.6,36.7,38.5,13.3,,2023-04-06_23,2023-04-06
2023-04-06 23:00:06.411843,USIRP25F4=R,2023-09-20,4.5438,86.0,4.875,,,9.9,33.2,38.2,16.8,1.9,,2023-04-06_23,2023-04-06
2023-04-06 23:00:06.411843,USIRP25F5=R,2023-11-01,4.3395,81.72,4.875,,8.1,28.9,37.3,20.7,4.6,0.3,,2023-04-06_23,2023-04-06
2023-04-06 23:00:06.411843,USIRP25F6=R,2023-12-13,4.1575,72.80000000000001,4.875,5.9,23.3,35.0,25.2,9.0,1.5,0.1,,2023-04-06_23,2023-04-06
2023-04-07 23:00:06.747466,USIRP25F1=R,2023-05-03,5.0508,,4.875,,,,,,29.7,70.3,,2023-04-07_23,2023-04-07
2023-04-07 23:00:06.747466,USIRP25F2=R,2023-06-14,5.048,1.112000000000009,4.875,,,,,0.3,30.2,69.5,,2023-04-07_23,2023-04-07
2023-04-07 23:00:06.747466,USIRP25F3=R,2023-07-26,4.8738,69.692,4.875,,,,0.2,21.1,57.6,21.1,,2023-04-07_23,2023-04-07
2023-04-07 23:00:06.747466,USIRP25F4=R,2023-09-20,4.7588,45.98,4.875,,,0.1,9.8,37.9,40.8,11.4,,2023-04-07_23,2023-04-07
2023-04-07 23:00:06.747466,USIRP25F5=R,2023-11-01,4.5881,68.28,4.875,,0.1,6.7,29.0,39.9,20.7,3.6,,2023-04-07_23,2023-04-07
2023-04-07 23:00:06.747466,USIRP25F6=R,2023-12-13,4.4257,64.96,4.875,,4.4,21.2,36.1,27.4,9.6,1.3,,2023-04-07_23,2023-04-07
2023-04-08 23:00:06.440921,USIRP25F1=R,2023-05-03,5.0508,,4.875,,,,,,29.7,70.3,,2023-04-08_23,2023-04-08
2023-04-08 23:00:06.440921,USIRP25F2=R,2023-06-14,5.0445,2.495999999999995,4.875,,,,,0.7,30.7,68.5,,2023-04-08_23,2023-04-08
2023-04-08 23:00:06.440921,USIRP25F3=R,2023-07-26,4.8738,68.308,4.875,,,,0.5,21.2,56.6,21.7,,2023-04-08_23,2023-04-08
2023-04-08 23:00:06.440921,USIRP25F4=R,2023-09-20,4.7638,43.98,4.875,,,0.2,9.6,36.8,41.2,12.2,,2023-04-08_23,2023-04-08
2023-04-08 23:00:06.440921,USIRP25F5=R,2023-11-01,4.5931,68.28,4.875,,0.2,6.6,28.1,39.8,21.4,3.9,,2023-04-08_23,2023-04-08
2023-04-08 23:00:06.440921,USIRP25F6=R,2023-12-13,4.3101,113.20000000000002,4.875,,,26.0,74.0,,,,,2023-04-08_23,2023-04-08
2023-04-09 23:00:06.663723,USIRP25F1=R,2023-05-03,5.0508,,4.875,,,,,,29.7,70.3,,2023-04-09_23,2023-04-09
2023-04-09 23:00:06.663723,USIRP25F2=R,2023-06-14,5.0445,2.495999999999995,4.875,,,,,0.7,30.7,68.5,,2023-04-09_23,2023-04-09
2023-04-09 23:00:06.663723,USIRP25F3=R,2023-07-26,4.8738,68.308,4.875,,,,0.5,21.2,56.6,21.7,,2023-04-09_23,2023-04-09
2023-04-09 23:00:06.663723,USIRP25F4=R,2023-09-20,4.7638,43.98,4.875,,,0.2,9.6,36.8,41.2,12.2,,2023-04-09_23,2023-04-09
2023-04-09 23:00:06.663723,USIRP25F5=R,2023-11-01,4.5931,68.28,4.875,,0.2,6.6,28.1,39.8,21.4,3.9,,2023-04-09_23,2023-04-09
2023-04-09 23:00:06.663723,USIRP25F6=R,2023-12-13,4.3101,113.20000000000002,4.875,,,26.0,74.0,,,,,2023-04-09_23,2023-04-09
2023-04-10 23:00:07.664701,USIRP25F1=R,2023-05-03,5.0535,,4.875,,,,,,28.6,71.4,,2023-04-10_23,2023-04-10
2023-04-10 23:00:07.664701,USIRP25F2=R,2023-06-14,5.0466,2.760000000000005,4.875,,,,,0.8,29.8,69.4,,2023-04-10_23,2023-04-10
2023-04-10 23:00:07.664701,USIRP25F3=R,2023-07-26,4.8738,69.152,4.875,,,,0.5,20.8,57.2,21.4,,2023-04-10_23,2023-04-10
2023-04-10 23:00:07.664701,USIRP25F4=R,2023-09-20,4.7962,31.0,4.875,,,0.2,6.8,32.1,46.1,14.8,,2023-04-10_23,2023-04-10
2023-04-10 23:00:07.664701,USIRP25F5=R,2023-11-01,4.636,64.1,4.875,,0.1,4.4,23.0,41.1,26.0,5.3,,2023-04-10_23,2023-04-10
2023-04-10 23:00:07.664701,USIRP25F6=R,2023-12-13,4.473,65.20000000000002,4.875,0.1,2.9,16.6,34.8,31.3,12.5,1.8,,2023-04-10_23,2023-04-10
2023-04-11 23:00:07.888794,USIRP25F1=R,2023-05-03,5.0591,,4.875,,,,,,26.4,73.6,,2023-04-11_23,2023-04-11
2023-04-11 23:00:07.888794,USIRP25F2=R,2023-06-14,5.0836,9.800000000000011,4.875,,,,,,23.8,69.0,7.2,2023-04-11_23,2023-04-11
2023-04-11 23:00:07.888794,USIRP25F3=R,2023-07-26,4.9762,42.92400000000001,4.875,,,,,10.2,43.2,42.5,4.1,2023-04-11_23,2023-04-11
2023-04-11 23:00:07.888794,USIRP25F4=R,2023-09-20,4.8162,64.0,4.875,,,,6.5,31.3,42.7,17.9,1.5,2023-04-11_23,2023-04-11
2023-04-11 23:00:07.888794,USIRP25F5=R,2023-11-01,4.6456,68.26,4.875,,,4.5,23.5,39.1,25.8,6.7,0.5,2023-04-11_23,2023-04-11
2023-04-11 23:00:07.888794,USIRP25F6=R,2023-12-13,4.4746,68.39999999999999,4.875,,3.1,17.5,34.2,30.0,12.7,2.4,0.1,2023-04-11_23,2023-04-11
2023-04-12 16:00:08.210630,USIRP25F1=R,2023-05-03,5.0591,,4.875,,,,,,26.4,73.6,,2023-04-12_16,2023-04-12
2023-04-12 16:00:08.210630,USIRP25F2=R,2023-06-14,5.0836,9.800000000000011,4.875,,,,,,23.8,69.0,7.2,2023-04-12_16,2023-04-12
2023-04-12 16:00:08.210630,USIRP25F3=R,2023-07-26,4.9762,42.92400000000001,4.875,,,,,10.2,43.2,42.5,4.1,2023-04-12_16,2023-04-12
2023-04-12 16:00:08.210630,USIRP25F4=R,2023-09-20,4.8162,64.0,4.875,,,,6.5,31.3,42.7,17.9,1.5,2023-04-12_16,2023-04-12
2023-04-12 16:00:08.210630,USIRP25F5=R,2023-11-01,4.6482,67.22,4.875,,,4.4,23.2,39.0,26.1,6.9,0.5,2023-04-12_16,2023-04-12
2023-04-12 16:00:08.210630,USIRP25F6=R,2023-12-13,4.4813,66.75999999999999,4.875,,2.9,17.0,33.7,30.4,13.2,2.6,0.2,2023-04-12_16,2023-04-12
2023-04-13 23:00:07.410230,USIRP25F1=R,2023-05-03,5.048,,4.875,,,,,,30.8,69.2,,2023-04-13_23,2023-04-13
2023-04-13 23:00:07.410230,USIRP25F2=R,2023-06-14,5.0593,4.536000000000001,4.875,,,,,,29.4,67.5,3.1,2023-04-13_23,2023-04-13
2023-04-13 23:00:07.410230,USIRP25F3=R,2023-07-26,4.9762,33.232,4.875,,,,,9.8,42.0,46.1,2.1,2023-04-13_23,2023-04-13
2023-04-13 23:00:07.410230,USIRP25F4=R,2023-09-20,4.7313,97.98,4.875,,,,9.6,41.4,46.0,3.0,0.0,2023-04-13_23,2023-04-13
2023-04-13 23:00:07.410230,USIRP25F5=R,2023-11-01,4.5451,74.48000000000002,4.875,,,7.1,33.3,44.8,14.0,0.8,0.0,2023-04-13_23,2023-04-13
2023-04-13 23:00:07.410230,USIRP25F6=R,2023-12-13,4.3663,71.51999999999998,4.875,,5.1,25.8,41.5,22.8,4.5,0.2,0.0,2023-04-13_23,2023-04-13
2023-04-14 23:00:06.391962,USIRP25F1=R,2023-05-03,5.0867,,4.875,,,,,,15.3,84.7,,2023-04-14_23,2023-04-14
2023-04-14 23:00:06.391962,USIRP25F2=R,2023-06-14,5.1407,21.572000000000003,4.875,,,,,,12.0,69.7,18.3,2023-04-14_23,2023-04-14
2023-04-14 23:00:06.391962,USIRP25F3=R,2023-07-26,5.0512,35.768,4.875,,,,,4.3,32.6,51.3,11.7,2023-04-14_23,2023-04-14
2023-04-14 23:00:06.391962,USIRP25F4=R,2023-09-20,4.8712,72.0,4.875,,,,3.1,24.7,46.1,22.8,3.3,2023-04-14_23,2023-04-14
2023-04-14 23:00:06.391962,USIRP25F5=R,2023-11-01,4.7278,57.38,4.875,,,1.8,15.5,37.0,32.7,11.6,1.4,2023-04-14_23,2023-04-14
2023-04-14 23:00:06.391962,USIRP25F6=R,2023-12-13,4.5443,73.4,4.875,,1.3,11.8,31.3,33.9,17.2,4.1,0.4,2023-04-14_23,2023-04-14
2023-04-15 23:00:07.847851,USIRP25F1=R,2023-05-03,5.0784,,4.875,,,,,,18.6,81.4,,2023-04-15_23,2023-04-15
2023-04-15 23:00:07.847851,USIRP25F2=R,2023-06-14,5.1202,16.69999999999999,4.875,,,,,,15.5,70.9,13.6,2023-04-15_23,2023-04-15
2023-04-15 23:00:07.847851,USIRP25F3=R,2023-07-26,5.0338,34.57599999999999,4.875,,,,,5.4,34.7,51.1,8.9,2023-04-15_23,2023-04-15
2023-04-15 23:00:07.847851,USIRP25F4=R,2023-09-20,4.8712,65.0,4.875,,,,3.5,24.4,45.3,23.7,3.1,2023-04-15_23,2023-04-15
2023-04-15 23:00:07.847851,USIRP25F5=R,2023-11-01,4.7178,61.38,4.875,,,2.1,16.3,37.3,32.0,11.0,1.2,2023-04-15_23,2023-04-15
2023-04-15 23:00:07.847851,USIRP25F6=R,2023-12-13,4.4569,104.36,4.875,,,,67.2,32.8,,,,2023-04-15_23,2023-04-15
2023-04-16 23:00:07.446449,USIRP25F1=R,2023-05-03,5.0784,,4.875,,,,,,18.6,81.4,,2023-04-16_23,2023-04-16
2023-04-16 23:00:07.446449,USIRP25F2=R,2023-06-14,5.1202,16.69999999999999,4.875,,,,,,15.5,70.9,13.6,2023-04-16_23,2023-04-16
2023-04-16 23:00:07.446449,USIRP25F3=R,2023-07-26,5.0338,34.57599999999999,4.875,,,,,5.4,34.7,51.1,8.9,2023-04-16_23,2023-04-16
2023-04-16 23:00:07.446449,USIRP25F4=R,2023-09-20,4.8712,65.0,4.875,,,,3.5,24.4,45.3,23.7,3.1,2023-04-16_23,2023-04-16
2023-04-16 23:00:07.446449,USIRP25F5=R,2023-11-01,4.7178,61.38,4.875,,,2.1,16.3,37.3,32.0,11.0,1.2,2023-04-16_23,2023-04-16
2023-04-16 23:00:07.446449,USIRP25F6=R,2023-12-13,4.4569,104.36,4.875,,,,67.2,32.8,,,,2023-04-16_23,2023-04-16
2023-04-17 23:00:06.451620,USIRP25F1=R,2023-05-03,5.095,,4.875,,,,,,12.0,88.0,,2023-04-17_23,2023-04-17
2023-04-17 23:00:06.451620,USIRP25F2=R,2023-06-14,5.1634,27.331999999999997,4.875,,,,,,8.7,67.2,24.1,2023-04-17_23,2023-04-17
2023-04-17 23:00:06.451620,USIRP25F3=R,2023-07-26,5.1038,23.848,4.875,,,,,2.1,22.7,56.9,18.3,2023-04-17_23,2023-04-17
2023-04-17 23:00:06.451620,USIRP25F4=R,2023-09-20,4.9788,50.0,4.875,,,,1.0,12.4,39.8,37.6,9.2,2023-04-17_23,2023-04-17
2023-04-17 23:00:06.451620,USIRP25F5=R,2023-11-01,4.8081,68.276,4.875,,,0.7,8.8,31.1,38.3,18.2,2.9,2023-04-17_23,2023-04-17
2023-04-17 23:00:06.451620,USIRP25F6=R,2023-12-13,4.6285,71.824,4.875,,0.5,6.5,24.8,36.3,23.9,7.2,0.8,2023-04-17_23,2023-04-17
2023-04-18 23:00:06.806252,USIRP25F1=R,2023-05-03,5.095,,4.875,,,,,,12.0,88.0,,2023-04-18_23,2023-04-18
2023-04-18 23:00:06.806252,USIRP25F2=R,2023-06-14,5.1534,23.331999999999997,4.875,,,,,,9.2,70.3,20.5,2023-04-18_23,2023-04-18
2023-04-18 23:00:06.806252,USIRP25F3=R,2023-07-26,5.0938,23.848,4.875,,,,,2.2,23.8,58.4,15.6,2023-04-18_23,2023-04-18
2023-04-18 23:00:06.806252,USIRP25F4=R,2023-09-20,4.9762,47.0,4.875,,,,1.0,12.3,40.0,38.3,8.3,2023-04-18_23,2023-04-18
2023-04-18 23:00:06.806252,USIRP25F5=R,2023-11-01,4.7903,74.38,4.875,,,0.8,9.4,32.9,38.8,16.0,2.1,2023-04-18_23,2023-04-18
2023-04-18 23:00:06.806252,USIRP25F6=R,2023-12-13,4.6025,75.12,4.875,,0.6,7.3,27.1,37.3,21.6,5.6,0.5,2023-04-18_23,2023-04-18
2023-04-19 23:00:06.699100,USIRP25F1=R,2023-05-03,5.1006,,4.875,,,,,,9.8,90.2,,2023-04-19_23,2023-04-19
2023-04-19 23:00:06.699100,USIRP25F2=R,2023-06-14,5.1755,29.959999999999997,4.875,,,,,,6.9,66.1,27.0,2023-04-19_23,2023-04-19
2023-04-19 23:00:06.699100,USIRP25F3=R,2023-07-26,5.1338,16.691999999999993,4.875,,,,,1.1,16.8,59.6,22.5,2023-04-19_23,2023-04-19
2023-04-19 23:00:06.699100,USIRP25F4=R,2023-09-20,5.0287,42.0,4.875,,,,0.5,7.7,34.7,44.0,13.1,2023-04-19_23,2023-04-19
